transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud
903,42,79.89592624379631,POS,Travel,UK,23,0.2409825761766832,0.0931445499223255,0
1136,617,93.26000739532604,POS,Electronics,DE,10,0.0685426720388696,0.0549122181477787,0
3853,87,149.48996729637554,QR,Clothing,DE,11,0.1861157845561485,0.2885745631617673,0
8090,910,106.6816596594367,POS,Clothing,US,22,0.2352738512873189,0.2194024717588562,0
5325,149,146.2005528628586,POS,Travel,FR,19,0.0625720197832008,0.0259098642063737,0
7655,391,73.88458362634874,ATM,Food,UK,23,0.2829477309454562,0.2882828069418851,0
7416,301,126.476272216403,POS,Food,US,19,0.2820536812594058,0.1074364401495557,0
471,699,88.56007460928272,ATM,Clothing,FR,15,0.0163765387805832,0.0213823289630027,0
8237,573,16.07494057258812,ATM,Food,FR,11,0.2334093167451574,0.264865250969551,0
3145,956,171.23594151585235,POS,Grocery,US,11,0.013618200418862,0.297651848298769,0
1565,61,144.74937180474035,ATM,Grocery,FR,8,0.0445365953807443,0.2775760422714091,0
5680,892,44.08238869997591,Online,Electronics,FR,6,0.1382093213792291,0.1010149853801224,0
4269,764,137.4410590590389,Online,Clothing,FR,10,0.1207870327276101,0.2762357328937011,0
2947,238,109.241988218019,POS,Clothing,FR,9,0.0996570784414495,0.1810622811463671,0
5104,278,75.13129251748558,ATM,Clothing,US,7,0.2837171624463208,0.0584486602292654,0
7680,789,51.57936431449999,Online,Clothing,US,13,0.1275580214627552,0.2465519571123471,0
2653,462,136.07179536720423,POS,Clothing,DE,21,0.1533970399206423,0.1504889039148388,0
6230,579,72.7170503394284,POS,Travel,FR,12,0.1218973140208226,0.2521982789733108,0
6532,609,65.14158425918825,QR,Food,UK,23,0.2449789425659709,0.0414550504347174,0
4444,573,46.347452064676695,QR,Food,UK,19,0.1899341999018619,0.1057544733967601,0
3893,330,45.42354454819203,Online,Electronics,DE,22,0.0128762762021876,0.0647759018901101,0
377,735,81.1441063153276,POS,Travel,TR,22,0.0442553994860551,0.0187195461117625,0
9861,669,2359.975487459196,Online,Electronics,TR,16,0.9753845999128214,0.7197512041537777,1
4727,530,119.63654701909952,QR,Grocery,TR,23,0.0101727193882172,0.0997034254590181,0
7392,753,51.45075673921549,QR,Grocery,UK,16,0.1541558890987049,0.1786982942708775,0
3938,840,137.88054684631553,ATM,Electronics,TR,16,0.1511823826365276,0.2700597105162163,0
3192,794,5.300320357889177,Online,Travel,UK,22,0.0425586968714344,0.1201175931088365,0
5100,740,111.92350794572737,POS,Electronics,US,12,0.149880611434727,0.0728914373155889,0
9316,59,6.165244576953228,ATM,Travel,TR,13,0.1805216029932808,0.2021298529380646,0
5762,730,55.56448246966368,Online,Grocery,TR,12,0.0872048095545508,0.0486944030388536,0
3449,512,101.7571112310436,ATM,Electronics,FR,17,0.2142200864026189,0.1080232333501272,0
4456,960,55.27443891908632,Online,Travel,UK,6,0.2742915407057126,0.1429393467613448,0
7580,548,119.12704102475338,QR,Food,US,17,0.0129555260696748,0.0805524443685727,0
7261,475,125.3232530964044,ATM,Grocery,TR,6,0.0011964293198486,0.0681265412736063,0
6180,535,169.36251279833914,ATM,Travel,US,14,0.2879351056660507,0.0984168337065864,0
3412,499,33.444695062930194,Online,Travel,FR,6,0.0232944379372428,0.0373990782388791,0
4595,286,65.9130032942566,POS,Clothing,UK,13,0.2730534633173087,0.1313974382333001,0
5369,113,3.1104921909252283,QR,Clothing,UK,18,0.1333768275023145,0.0102793462582831,0
4272,13,95.92629134008637,QR,Travel,TR,20,0.2477964929899834,0.1994954184648762,0
4421,690,120.02514784313853,Online,Travel,US,19,0.0020652695242407,0.021322438996109,0
884,75,95.9685595775095,POS,Electronics,UK,16,0.2383098289240758,0.0677858963876305,0
7982,559,56.05039934019448,POS,Travel,TR,20,0.2288553228402792,0.0157068023716429,0
3796,125,66.98353691243132,POS,Clothing,DE,20,0.0750683718372333,0.1253727191063002,0
7715,417,139.4913035208843,QR,Grocery,UK,8,0.0144501667823395,0.0618792128491213,0
8850,574,95.70028421773434,QR,Grocery,US,12,0.1370257318890251,0.0389413256059016,0
8791,886,38.40706444640112,POS,Electronics,DE,10,0.1158422454775007,0.1832381439081584,0
186,389,66.77814089473262,ATM,Electronics,FR,9,0.0983105467149703,0.2965890699866981,0
7322,146,91.46439993717392,ATM,Travel,US,14,0.2994328807372029,0.1979541059882515,0
444,491,107.5516454527568,QR,Grocery,US,22,0.0669443876648867,0.2133114730684413,0
5327,432,224.9100058987056,QR,Grocery,TR,6,0.0354355258822989,0.1528628148469528,0
5511,744,73.7582260449615,POS,Clothing,FR,10,0.1572485058946412,0.0873080111304359,0
5439,880,81.96167934018288,POS,Electronics,FR,9,0.1410244912163344,0.1595495469028308,0
7769,913,28.823242951488425,Online,Food,DE,13,0.0968759836631885,0.1765049485188039,0
9573,4,10.0,Online,Electronics,TR,23,0.7072761753457486,0.9482055610204082,1
8773,486,93.83509767905008,ATM,Food,UK,23,0.1212439914846439,0.026808828247771,0
7396,309,103.4943997934704,POS,Food,UK,13,0.2819132340093351,0.1661318151718537,0
6862,497,113.30427105335204,Online,Grocery,UK,19,0.0695083937855929,0.0080732857512108,0
9931,677,1739.46309710285,QR,Food,FR,4,0.8046856493549818,0.847659246743333,1
9359,840,163.80494144089096,Online,Food,US,14,0.2221692162699937,0.1409251208609349,0
1431,498,94.22953309001072,POS,Clothing,UK,8,0.1127962207741141,0.2912487379724086,0
4067,593,102.35171820042515,ATM,Grocery,UK,19,0.0980763231592013,0.1352837659637552,0
